item_name,item_price,item_year,item_miles,item_make,item_location
1998 Honda CR,"$15,200.00 ",Year: 1998,,Make: Honda,
2008 Other Makes,$495.00 ,Year: 2008,"Miles: 1,858",Make: Other Makes,
1976 Yamaha RD400,"$4,050.00 ",Year: 1976,"Miles: 13,066",Make: Yamaha,
2020 Polaris Slingshot R,"$23,500.00 ",Year: 2020,"Miles: 2,495",Make: Polaris,
1990 Yamaha V Max,"$5,500.00 ",Year: 1990,"Miles: 5,400",Make: Yamaha,
1989 Softail,"$5,100.00 ",Year: 1989,"Miles: 41,000",Make: Harley-Davidson,
2022 Yamaha Tenere 700,"$10,299.00 ",Year: 2022,Miles: 1,Make: Yamaha,
1974 Yamaha RD350,$0.99 ,Year: 1974,"Miles: 999,999",Make: Yamaha,
1977 Kawasaki KZ650,$1.25 ,Year: 1977,"Miles: 999,999",Make: Kawasaki,
1946 Harley-Davidson Other,"$29,500.00 ",Year: 1946,Miles: 100,Make: Harley-Davidson,
1976 Kawasaki KZ750,$0.99 ,Year: 1976,"Miles: 999,999",Make: Kawasaki,
1975 Yamaha MX400,$0.99 ,Year: 1975,"Miles: 999,999",Make: Yamaha,
1981 Kawasaki GPZ1100,$5.50 ,Year: 1981,"Miles: 999,999",Make: Kawasaki,
1973 Kawasaki H2,$0.99 ,Year: 1973,"Miles: 999,999",Make: Kawasaki,
1972 Kawasaki H1,$0.99 ,Year: 1972,"Miles: 999,999",Make: Kawasaki,
1974 Kawasaki Z1,$0.99 ,Year: 1974,"Miles: 999,999",Make: Kawasaki,
1971 Honda CB,"$4,051.00 ",Year: 1971,Miles: 155,Make: Honda,
2005 Honda Shadow,"$1,580.00 ",Year: 2005,"Miles: 20,308",Make: Honda,
1966 Honda CA,"$2,150.00 ",Year: 1966,"Miles: 14,135",Make: Honda,
1963 Harley-Davidson FL,"$16,000.00 ",Year: 1963,"Miles: 100,000",Make: Harley-Davidson,
2022 Kawasaki KLR,"$7,450.00 ",Year: 2022,"Miles: 1,126",Make: Kawasaki,
1998 Harley-Davidson Touring,"$4,900.00 ",Year: 1998,"Miles: 82,000",Make: Harley-Davidson,
2017 BMW 1200 GS ADVENTURE,"$17,995.00 ",Year: 2017,"Miles: 6,700",Make: BMW,
2012 Kawasaki Ninja 250,"$2,900.00 ",Year: 2012,"Miles: 5,800",Make: Kawasaki,
